TIME_PERIOD,gdp,inflation,unemployment,industrial_production,gdp_future,target
1996-01-01,24187.09601611733,89.90020565552699,736.1296296296297,121.70121539500337,163.38796307916346,0
1996-04-01,24350.483979196495,90.74467866323907,726.0611111111111,123.54166103983796,-126.29408536573828,1
1996-07-01,24224.189893830757,90.78660668380464,724.9407407407407,136.23767724510466,972.6209512193927,0
1996-10-01,25196.81084505015,91.03125964010283,716.324074074074,139.53443619176235,-1465.6158898776848,1
1997-01-01,23731.194955172465,91.2686118251928,694.4962962962962,127.71546252532072,783.7101724137065,0
1997-04-01,24514.90512758617,91.26768637532133,685.7592592592592,138.0962187711006,-114.63328758625721,1
1997-07-01,24400.271839999914,91.48303341902313,681.5592592592593,148.49709655638085,1513.672483448412,0
1997-10-01,25913.944323448326,91.78596401028277,672.7925925925927,149.4767724510466,-762.081477931155,1
1998-01-01,25151.86284551717,92.17262210796915,640.1537037037037,138.71532748143144,886.4988537931349,0
1998-04-01,26038.361699310306,92.28503856041131,621.3537037037037,139.82613099257256,-149.1180634481425,1
1998-07-01,25889.243635862164,92.77750642673521,618.05,153.60033760972314,1573.409266896546,0
1998-10-01,27462.65290275871,92.906735218509,607.9907407407408,151.033760972316,-688.8620772415088,1
1999-01-01,26773.7908255172,93.18128534704371,564.8740740740741,138.5607022282242,1006.2081993105057,0
1999-04-01,27779.999024827706,93.87102827763496,520.4462962962963,138.1866981769075,-145.04932206903322,1
1999-07-01,27634.949702758673,94.38393316195373,513.1814814814815,147.25982444294394,1447.4380862067082,0
1999-10-01,29082.38778896538,94.42215938303342,513.8074074074074,144.3522619851452,-160.92216758615905,1
2000-01-01,28921.465621379222,94.38962593516209,502.5777777777778,132.44159351789332,772.7053682759542,0
2000-04-01,29694.170989655177,95.26129675810473,474.5722222222222,134.80560432140447,-241.08227103445824,1
2000-07-01,29453.08871862072,96.20306733167082,470.18333333333334,145.46502363268064,1268.3912358620764,0
2000-10-01,30721.479954482795,96.75992518703242,468.3703703703704,144.46495611073598,-158.02740482757508,1
2001-01-01,30563.45254965522,104.26714285714286,438.1777777777778,134.63281566509116,693.0079006895503,0
2001-04-01,31256.46045034477,105.26969230769231,421.1703703703704,129.54503713706956,-360.35635172401817,1
2001-07-01,30896.10409862075,105.25520879120879,423.1611111111111,137.4683322079676,1154.6276503449408,0
2001-10-01,32050.731748965693,105.60975824175826,431.47592592592594,141.48318703578664,-395.08224275889006,1
2002-01-01,31655.649506206802,106.11446153846155,466.1203703703704,414.2012752391087,763.046264137869,0
